Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
Delaware,2021,42,10/23/2021,252,224,,48,,,,10,,,0,55,20,34,32
Delaware,2021,43,10/30/2021,240,217,,41,,,,19,,,,35,15,17,16
Delaware,2021,44,11/6/2021,200,176,,45,,,,,,,0,30,10,27,25
Delaware,2021,45,11/13/2021,241,207,,47,,,,15,,0,,33,19,17,12
Delaware,2021,46,11/20/2021,193,175,0,32,,11,,,,,,34,14,21,18
Delaware,2021,47,11/27/2021,234,216,,33,10,,,11,,,,47,16,24,21
Delaware,2021,48,12/4/2021,250,222,,45,,,,,,,,44,26,27,26
Delaware,2021,49,12/11/2021,232,216,,42,12,,,10,,,,40,14,27,26
Delaware,2021,50,12/18/2021,253,228,,40,12,,,14,,,,50,10,44,39
Delaware,2021,51,12/25/2021,240,212,,43,,,,13,,,0,46,13,31,24
Delaware,2021,52,1/1/2022,252,234,,43,,11,,,,,0,38,18,54,49
Delaware,2022,1,1/8/2022,268,247,,40,10,12,,,0,,0,53,14,69,54
Delaware,2022,2,1/15/2022,298,282,,50,13,14,,11,,,,47,17,78,69
Delaware,2022,3,1/22/2022,347,323,,40,,12,,12,,,0,65,22,92,86
Delaware,2022,4,1/29/2022,309,286,,51,,,,,,,,57,19,78,66
Delaware,2022,5,2/5/2022,269,255,,44,,14,,11,0,,,35,19,63,52
Delaware,2022,6,2/12/2022,270,237,,47,13,12,,,,,,44,21,42,34
Delaware,2022,7,2/19/2022,223,203,,39,,,,14,,,,34,23,29,20
Delaware,2022,8,2/26/2022,242,217,,63,,,,12,,,0,40,19,23,20
Delaware,2022,9,3/5/2022,217,195,,38,14,10,,15,,0,0,34,22,16,
Delaware,2022,10,3/12/2022,215,196,,46,,13,,,,,0,35,21,13,
Delaware,2022,11,3/19/2022,211,185,,49,,,,10,,,,33,12,12,
Delaware,2022,12,3/26/2022,196,183,,40,,,,,,,0,46,11,10,
Delaware,2022,13,4/2/2022,208,192,,37,,,,15,,,,54,15,,
Delaware,2022,14,4/9/2022,208,186,,46,,,,12,,,,48,13,,
Delaware,2022,15,4/16/2022,194,177,,51,,,,,,,0,41,,,
Delaware,2022,16,4/23/2022,211,191,,45,,15,,,,,,46,22,,
Delaware,2022,17,4/30/2022,209,187,,52,,,,,,,,42,17,,
Delaware,2022,18,5/7/2022,190,166,,41,,,,,,,,43,15,,
Delaware,2022,19,5/14/2022,201,179,,41,,,,,,,,39,15,,
Delaware,2022,20,5/21/2022,191,168,,33,,11,,11,,,,41,17,,
Delaware,2022,21,5/28/2022,223,202,,44,11,10,,,0,,,50,16,,
Delaware,2022,22,6/4/2022,188,173,,42,,,,,,,,41,19,,
Delaware,2022,23,6/11/2022,189,173,,42,,,,,,,0,46,10,11,
Delaware,2022,24,6/18/2022,204,183,,40,,12,,12,,,,46,12,,
Delaware,2022,25,6/25/2022,185,164,0,47,,,,,,,,40,16,,
Delaware,2022,26,7/2/2022,181,169,0,36,,,,,,,,33,14,11,
Delaware,2022,27,7/9/2022,183,175,,41,,,,,,,,32,16,,
Delaware,2022,28,7/16/2022,202,186,,47,,12,,,,,,41,11,,
Delaware,2022,29,7/23/2022,213,203,,54,,10,,10,,,,45,15,12,
Delaware,2022,30,7/30/2022,214,203,,57,,,,,,,,37,15,11,
Delaware,2022,31,8/6/2022,185,172,,50,,,,,,,,33,18,10,
Delaware,2022,32,8/13/2022,171,163,,36,,,,,,,,44,18,,
Delaware,2022,33,8/20/2022,180,166,,43,,,,12,,,10,30,12,,
Delaware,2022,34,8/27/2022,180,172,,26,,,0,,,,,37,22,13,
Delaware,2022,35,9/3/2022,178,171,,50,,,,,,,11,39,,,
Delaware,2022,36,9/10/2022,164,157,,37,,10,,,,,10,29,13,,
Delaware,2022,37,9/17/2022,149,149,,42,,,0,,,,,33,13,,
Delaware,2022,38,9/24/2022,118,118,,31,0,,,11,,,,16,11,12,
District of Columbia,2020,1,1/4/2020,132,109,,20,0,0,,,,0,0,33,,0,0
District of Columbia,2020,2,1/11/2020,128,102,,21,,,,,0,0,,26,16,0,0
District of Columbia,2020,3,1/18/2020,140,120,,28,,,,,0,,,33,11,0,0
District of Columbia,2020,4,1/25/2020,131,115,,32,,,,,,,0,26,,0,0
District of Columbia,2020,5,2/1/2020,143,117,,25,,,,,,0,,41,,0,0
District of Columbia,2020,6,2/8/2020,131,112,,20,,,,,,,,32,,0,0
District of Columbia,2020,7,2/15/2020,122,104,,18,,,,,0,,0,30,,0,0
District of Columbia,2020,8,2/22/2020,104,89,,20,,,,0,,0,,23,,0,0
District of Columbia,2020,9,2/29/2020,135,116,,25,,,0,,,,0,26,10,0,0
District of Columbia,2020,10,3/7/2020,118,102,,23,,0,,,,,0,22,,0,0
District of Columbia,2020,11,3/14/2020,114,101,0,32,,,,,,,0,20,,0,0
District of Columbia,2020,12,3/21/2020,129,112,,29,,,,,0,,0,24,,,
District of Columbia,2020,13,3/28/2020,130,115,,21,,,,,,0,,34,11,,
District of Columbia,2020,14,4/4/2020,156,139,,22,,,0,,,0,0,31,,25,25
District of Columbia,2020,15,4/11/2020,194,173,,35,,,,,0,,,38,10,37,37
District of Columbia,2020,16,4/18/2020,202,175,,22,,,,,,,0,39,,59,59
District of Columbia,2020,17,4/25/2020,242,222,,26,,,,,0,,,37,11,90,90
District of Columbia,2020,18,5/2/2020,215,185,,25,,,,,0,,0,33,,75,74
District of Columbia,2020,19,5/9/2020,214,188,,19,,,,,,,,29,,86,86
District of Columbia,2020,20,5/16/2020,185,168,,16,,0,,,,,,22,,71,71
District of Columbia,2020,21,5/23/2020,181,159,,31,,,,,0,,,36,,49,46
District of Columbia,2020,22,5/30/2020,169,144,,23,,0,,,,0,0,33,,42,42
District of Columbia,2020,23,6/6/2020,149,132,,18,,0,,,,,0,27,,38,36
District of Columbia,2020,24,6/13/2020,147,124,,17,0,,,,0,0,,30,10,30,30
District of Columbia,2020,25,6/20/2020,132,117,,22,,,,,0,,0,24,,28,25
District of Columbia,2020,26,6/27/2020,130,104,,19,,,0,,,0,0,23,,19,18
District of Columbia,2020,27,7/4/2020,122,95,,18,,,0,,0,,0,21,,16,13
District of Columbia,2020,28,7/11/2020,138,111,,27,,,,,,0,,28,,,
District of Columbia,2020,29,7/18/2020,121,105,,23,,0,,,0,,0,26,,13,10
District of Columbia,2020,30,7/25/2020,123,100,,24,,0,0,,,,0,28,,,
District of Columbia,2020,31,8/1/2020,130,117,0,24,,,,,0,,,36,11,10,
District of Columbia,2020,32,8/8/2020,118,91,0,14,,,,,,0,,19,11,,
District of Columbia,2020,33,8/15/2020,117,100,,22,,0,,,,,,23,,,
District of Columbia,2020,34,8/22/2020,113,88,0,22,,,0,,,,0,23,,11,10
District of Columbia,2020,35,8/29/2020,140,117,,22,,,,,,,0,31,,,
District of Columbia,2020,36,9/5/2020,143,115,,19,,,,,,,,32,,,
District of Columbia,2020,37,9/12/2020,125,106,,22,,,,,0,0,0,31,,,
District of Columbia,2020,38,9/19/2020,109,88,,17,,0,,,0,,,22,,,
District of Columbia,2020,39,9/26/2020,112,96,0,18,,,,,,,,34,,,
District of Columbia,2020,40,10/3/2020,138,112,,23,,0,,,,,0,22,,10,
District of Columbia,2020,41,10/10/2020,146,123,,24,,,,,0,,,26,13,14,12
District of Columbia,2020,42,10/17/2020,118,103,,22,,,0,,,0,0,18,12,,
District of Columbia,2020,43,10/24/2020,105,90,0,23,,,,,0,,0,21,,,
District of Columbia,2020,44,10/31/2020,128,112,,24,,,,,0,,0,33,,,
District of Columbia,2020,45,11/7/2020,137,111,,27,0,,,,,0,0,31,11,12,
District of Columbia,2020,46,11/14/2020,130,107,,22,,,,,,0,0,25,,10,
District of Columbia,2020,47,11/21/2020,135,122,,21,,,,,,,0,30,,16,16
District of Columbia,2020,48,11/28/2020,120,104,,25,,0,,,,,,17,,15,12
District of Columbia,2020,49,12/5/2020,153,134,,26,,,0,,,0,,34,11,20,17
District of Columbia,2020,50,12/12/2020,175,148,,22,,,,0,0,,0,47,,21,19
District of Columbia,2020,51,12/19/2020,144,132,,21,,0,0,,,,,36,,34,28
District of Columbia,2020,52,12/26/2020,165,145,,24,,,0,,,,,33,,40,36
District of Columbia,2020,53,1/2/2021,178,169,,21,,,,,0,,0,39,10,36,33
District of Columbia,2021,1,1/9/2021,173,145,,25,,0,0,,0,,,37,,37,33
District of Columbia,2021,2,1/16/2021,172,154,,26,,,,,,,0,40,,41,29
District of Columbia,2021,3,1/23/2021,164,134,,20,,,0,,,,,41,10,38,23
District of Columbia,2021,4,1/30/2021,181,159,,22,,,0,,,,0,41,,50,41
District of Columbia,2021,5,2/6/2021,164,136,,23,,0,,,0,,0,23,13,43,31
District of Columbia,2021,6,2/13/2021,153,132,0,25,,0,,,,,,39,,32,18
District of Columbia,2021,7,2/20/2021,167,145,,25,,,,,,,,38,,23,17
District of Columbia,2021,8,2/27/2021,144,126,,21,,,0,,0,0,,30,,30,24
District of Columbia,2021,9,3/6/2021,134,117,,25,,0,0,,,,,26,,22,17
District of Columbia,2021,10,3/13/2021,125,107,,22,0,,,0,0,,,25,,13,
District of Columbia,2021,11,3/20/2021,145,120,,19,,0,,,,,,39,11,10,
District of Columbia,2021,12,3/27/2021,135,108,,26,,0,,,0,0,,27,,12,11
District of Columbia,2021,13,4/3/2021,126,97,0,20,,,,,,,0,15,,16,14
District of Columbia,2021,14,4/10/2021,158,128,,26,,,,,,,0,35,,16,12
District of Columbia,2021,15,4/17/2021,121,103,,18,,0,,,,,0,27,,19,16
District of Columbia,2021,16,4/24/2021,127,105,,19,,,,,,0,0,19,,12,11
District of Columbia,2021,17,5/1/2021,121,97,0,19,,,,,,0,,28,,,
District of Columbia,2021,18,5/8/2021,125,103,0,22,,,,,,,0,19,,,
District of Columbia,2021,19,5/15/2021,125,104,,21,,0,,,,,,22,,14,10
District of Columbia,2021,20,5/22/2021,132,113,,22,,,,,,0,0,24,,11,10
District of Columbia,2021,21,5/29/2021,119,95,,25,,0,,,0,,0,22,,,
District of Columbia,2021,22,6/5/2021,125,101,0,21,,0,,,,,,35,,,
District of Columbia,2021,23,6/12/2021,139,115,,28,,,,,,,0,29,,,
District of Columbia,2021,24,6/19/2021,128,103,,18,,0,,,,,,38,,,
District of Columbia,2021,25,6/26/2021,115,97,,14,,0,,,,0,,23,,,
District of Columbia,2021,26,7/3/2021,108,80,,17,,,,,0,,,17,,,
District of Columbia,2021,27,7/10/2021,149,130,,27,,,,,,0,,27,,,
District of Columbia,2021,28,7/17/2021,126,101,,19,,,,,0,,,32,,,
District of Columbia,2021,29,7/24/2021,136,98,,29,,,,,0,,,17,,,
District of Columbia,2021,30,7/31/2021,104,87,,19,,0,0,,0,0,,21,,,
District of Columbia,2021,31,8/7/2021,127,99,,19,,,,,,,,35,,,
District of Columbia,2021,32,8/14/2021,145,123,,31,,0,0,,,,,38,,,
District of Columbia,2021,33,8/21/2021,132,110,,20,,,,,,,0,28,,13,12
District of Columbia,2021,34,8/28/2021,119,100,0,20,,0,,,,0,0,23,,11,11
District of Columbia,2021,35,9/4/2021,136,107,,16,,0,0,,0,0,,30,13,14,12
District of Columbia,2021,36,9/11/2021,111,96,,22,0,0,,0,,,0,25,11,,
District of Columbia,2021,37,9/18/2021,132,104,,25,,0,0,,,0,0,19,,10,10
District of Columbia,2021,38,9/25/2021,128,110,,18,,,,0,,,,29,13,10,
District of Columbia,2021,39,10/2/2021,141,118,,24,0,0,0,,0,,,30,13,13,13
District of Columbia,2021,40,10/9/2021,158,127,,28,,,,,,,,38,,,
District of Columbia,2021,41,10/16/2021,130,113,,30,0,,,,,0,,19,,,
District of Columbia,2021,42,10/23/2021,135,104,,30,,,,,,0,0,20,,,
District of Columbia,2021,43,10/30/2021,142,119,,28,,0,,,0,,,25,,10,
District of Columbia,2021,44,11/6/2021,133,104,,29,,,,,0,,,21,,,
District of Columbia,2021,45,11/13/2021,143,121,,25,,,,,,,,35,10,,
District of Columbia,2021,46,11/20/2021,121,105,,21,,,,,,,,25,13,,
District of Columbia,2021,47,11/27/2021,133,106,,18,,,,0,0,0,0,41,,,
District of Columbia,2021,48,12/4/2021,135,106,,23,,,0,,,,,25,,,
District of Columbia,2021,49,12/11/2021,152,124,,28,,0,,,,,0,37,,11,10
District of Columbia,2021,50,12/18/2021,121,99,0,21,,0,,,0,,,25,,,
District of Columbia,2021,51,12/25/2021,138,118,,23,,0,,0,,,0,35,11,15,13
District of Columbia,2021,52,1/1/2022,177,151,,26,10,0,,,,,,37,,34,29
District of Columbia,2022,1,1/8/2022,173,151,,22,,0,,,0,,0,48,,47,32
District of Columbia,2022,2,1/15/2022,171,155,,23,,,,,0,0,,33,,45,30
District of Columbia,2022,3,1/22/2022,200,179,,26,,,,,,,,40,13,53,39
District of Columbia,2022,4,1/29/2022,173,150,,27,0,,,,0,,0,31,,36,26
District of Columbia,2022,5,2/5/2022,153,132,,19,,,,,0,,,35,,27,17
District of Columbia,2022,6,2/12/2022,137,113,,19,,,,,,,,30,,24,14
District of Columbia,2022,7,2/19/2022,136,112,,23,,0,0,,,,0,26,11,18,
District of Columbia,2022,8,2/26/2022,133,109,,12,,,,,,0,,30,,11,
District of Columbia,2022,9,3/5/2022,121,99,,22,,0,,,,,,23,,,
District of Columbia,2022,10,3/12/2022,132,107,,29,,,,,,,,26,,,
District of Columbia,2022,11,3/19/2022,129,102,,14,,,,,,0,,25,,,
District of Columbia,2022,12,3/26/2022,118,103,,26,,0,,,0,0,,25,,,
District of Columbia,2022,13,4/2/2022,129,112,,23,,0,0,,,0,,28,,,
District of Columbia,2022,14,4/9/2022,119,101,,19,,0,,,,0,,32,,,
District of Columbia,2022,15,4/16/2022,120,96,0,29,,,,,,0,,19,10,,
District of Columbia,2022,16,4/23/2022,104,83,,21,,0,,,0,0,,19,,,
District of Columbia,2022,17,4/30/2022,113,91,,26,,0,,0,,0,0,27,,,
District of Columbia,2022,18,5/7/2022,121,90,0,24,,,0,,,,0,20,,,
District of Columbia,2022,19,5/14/2022,124,102,,20,,,,,,,0,34,,,
District of Columbia,2022,20,5/21/2022,127,100,0,26,0,0,,,,,0,30,,,0
District of Columbia,2022,21,5/28/2022,112,93,,19,,0,0,,,,,23,11,,
District of Columbia,2022,22,6/4/2022,121,99,,24,0,0,,,,,,21,,,
District of Columbia,2022,23,6/11/2022,129,111,,31,,,,,0,,,26,13,,
District of Columbia,2022,24,6/18/2022,131,113,,15,,0,,,,0,,27,17,,
District of Columbia,2022,25,6/25/2022,117,99,,18,,0,,,,0,,34,,,
District of Columbia,2022,26,7/2/2022,97,81,,23,,,,,,,,24,,,
District of Columbia,2022,27,7/9/2022,118,102,,24,,0,0,,0,,,18,10,,0
District of Columbia,2022,28,7/16/2022,118,105,,17,,0,,,,,,23,,,
District of Columbia,2022,29,7/23/2022,124,112,,24,,,,,,,,27,,,
District of Columbia,2022,30,7/30/2022,122,107,,22,,0,0,,,,15,29,,,
District of Columbia,2022,31,8/6/2022,118,109,0,29,,,0,,,,12,29,,,0
District of Columbia,2022,32,8/13/2022,98,91,,18,0,0,,,,,14,16,,10,
District of Columbia,2022,33,8/20/2022,100,95,,25,,0,,,,0,18,21,,,
District of Columbia,2022,34,8/27/2022,96,86,0,19,,0,,,,0,10,17,,,
District of Columbia,2022,35,9/3/2022,108,100,0,23,,,,,0,0,11,18,11,,
District of Columbia,2022,36,9/10/2022,108,102,,19,,0,,,,,17,18,,,
District of Columbia,2022,37,9/17/2022,80,80,0,19,,0,0,,,0,,21,,,
District of Columbia,2022,38,9/24/2022,45,45,0,13,0,,,,,0,,,,0,0
Florida,2020,1,1/4/2020,4341,3928,60,873,136,127,87,265,59,75,54,1013,277,0,0
Florida,2020,2,1/11/2020,4410,3997,54,894,132,124,87,287,63,55,59,1023,317,0,0
Florida,2020,3,1/18/2020,4385,3992,54,867,121,129,76,287,66,72,73,1000,343,0,0
Florida,2020,4,1/25/2020,4387,4012,53,929,124,144,91,283,55,66,65,1003,301,0,0
Florida,2020,5,2/1/2020,4419,4033,55,889,153,141,76,268,66,69,73,993,312,0,0
Florida,2020,6,2/8/2020,4385,4012,47,878,160,142,79,255,65,76,63,1062,289,0,0
Florida,2020,7,2/15/2020,4358,3952,53,884,132,122,87,285,65,77,53,1020,297,0,0
Florida,2020,8,2/22/2020,4416,3975,65,924,136,126,80,253,61,68,63,956,327,0,0
Florida,2020,9,2/29/2020,4399,3990,49,883,121,127,80,263,60,73,66,1046,296,0,0
Florida,2020,10,3/7/2020,4520,4104,45,925,148,131,91,285,42,65,75,1007,310,,
Florida,2020,11,3/14/2020,4435,4003,49,926,125,127,85,273,65,80,66,980,331,,
Florida,2020,12,3/21/2020,4362,3906,63,890,130,129,101,276,60,61,59,954,275,17,16
Florida,2020,13,3/28/2020,4461,4039,60,933,149,128,88,249,76,43,74,958,303,93,91
Florida,2020,14,4/4/2020,4497,4099,63,883,138,123,91,256,58,51,70,974,312,219,210
Florida,2020,15,4/11/2020,4544,4128,49,913,149,132,72,235,50,64,73,941,282,305,288
Florida,2020,16,4/18/2020,4416,4021,54,847,164,150,60,226,41,58,46,910,296,311,297
Florida,2020,17,4/25/2020,4555,4131,49,865,148,158,59,255,36,55,66,929,315,326,294
Florida,2020,18,5/2/2020,4352,3892,51,861,157,142,50,204,49,48,52,849,297,308,279
Florida,2020,19,5/9/2020,4407,3948,57,861,139,119,61,216,52,68,44,930,259,290,257
Florida,2020,20,5/16/2020,4279,3858,47,867,137,132,57,233,38,57,62,888,292,257,219
Florida,2020,21,5/23/2020,4360,3893,45,867,151,132,53,216,41,57,50,947,264,236,200
Florida,2020,22,5/30/2020,4211,3769,45,822,137,133,45,187,45,70,46,893,271,230,193
Florida,2020,23,6/6/2020,4265,3829,42,883,117,142,49,211,45,68,58,899,285,223,172
Florida,2020,24,6/13/2020,4256,3825,40,825,125,116,49,203,48,53,58,946,300,193,162
Florida,2020,25,6/20/2020,4408,3958,37,864,152,131,48,218,43,59,56,915,312,221,192
Florida,2020,26,6/27/2020,4504,4044,51,832,133,132,44,217,52,57,67,955,298,324,270
Florida,2020,27,7/4/2020,4725,4276,49,879,163,146,62,203,50,63,58,997,273,466,410
Florida,2020,28,7/11/2020,5084,4649,58,861,168,128,54,238,53,64,66,1048,297,785,703
Florida,2020,29,7/18/2020,5509,5058,58,807,181,167,65,221,55,65,78,987,324,1185,1064
Florida,2020,30,7/25/2020,5704,5269,46,888,170,164,63,217,47,52,64,1030,318,1416,1267
Florida,2020,31,8/1/2020,5791,5356,40,890,151,183,62,228,38,58,65,1026,315,1514,1362
Florida,2020,32,8/8/2020,5585,5141,40,904,139,151,44,208,48,65,76,962,294,1405,1256
Florida,2020,33,8/15/2020,5510,5049,52,876,137,166,50,222,40,78,68,985,338,1185,1058
Florida,2020,34,8/22/2020,5203,4804,42,876,174,150,64,228,50,55,66,962,302,960,863
Florida,2020,35,8/29/2020,5015,4598,51,857,153,164,49,201,48,63,59,968,299,808,725
Florida,2020,36,9/5/2020,4758,4295,55,833,140,143,45,208,52,67,51,957,294,658,581
Florida,2020,37,9/12/2020,4513,4062,63,839,133,119,60,197,42,44,57,884,286,525,461
Florida,2020,38,9/19/2020,4667,4208,47,904,143,138,50,194,50,57,62,979,266,436,384
Florida,2020,39,9/26/2020,4444,4023,53,880,136,150,44,188,52,60,62,896,292,424,361
Florida,2020,40,10/3/2020,4346,3965,55,883,132,122,43,201,40,73,89,890,245,321,288
Florida,2020,41,10/10/2020,4525,4085,49,841,160,137,51,197,44,59,70,897,315,338,291
Florida,2020,42,10/17/2020,4389,3987,45,907,137,132,57,203,49,64,51,880,262,332,296
Florida,2020,43,10/24/2020,4335,3935,42,879,132,146,38,195,50,61,55,907,296,292,262
Florida,2020,44,10/31/2020,4265,3888,43,851,138,112,55,188,40,55,67,870,281,309,266
Florida,2020,45,11/7/2020,4305,3859,36,836,136,126,43,175,35,61,64,928,282,304,268
Florida,2020,46,11/14/2020,4487,4087,47,852,153,136,52,220,44,59,46,927,296,402,368
Florida,2020,47,11/21/2020,4561,4136,64,858,177,132,52,209,45,56,67,935,296,406,358
Florida,2020,48,11/28/2020,4634,4211,66,862,137,142,52,208,58,51,69,918,279,499,447
Florida,2020,49,12/5/2020,4911,4472,51,859,152,143,54,228,65,55,71,992,341,594,527
Florida,2020,50,12/12/2020,5085,4664,38,899,162,149,59,249,48,76,64,1020,335,584,533
Florida,2020,51,12/19/2020,4945,4592,65,891,145,146,50,230,48,49,73,967,345,659,595
Florida,2020,52,12/26/2020,5137,4713,60,915,163,140,54,224,45,66,74,1003,304,784,716
Florida,2020,53,1/2/2021,5710,5255,73,908,179,179,75,243,53,74,71,1143,360,951,856
Florida,2021,1,1/9/2021,5495,5048,61,856,183,138,66,228,60,92,55,1042,313,1070,974
Florida,2021,2,1/16/2021,5923,5480,61,906,190,147,75,250,57,71,60,1112,351,1242,1120
Florida,2021,3,1/23/2021,5662,5200,51,877,176,153,40,242,48,73,60,1042,352,1221,1123
Florida,2021,4,1/30/2021,5491,5060,65,887,178,126,80,219,62,71,71,1015,294,1071,955
Florida,2021,5,2/6/2021,5569,5093,61,894,155,135,59,205,62,86,92,1125,318,1043,950
Florida,2021,6,2/13/2021,5460,4988,65,936,149,158,60,213,61,79,57,1029,327,883,806
Florida,2021,7,2/20/2021,5119,4656,47,903,163,146,54,203,59,63,57,984,332,735,648
Florida,2021,8,2/27/2021,4894,4460,66,896,161,137,44,196,64,72,62,999,306,607,531
Florida,2021,9,3/6/2021,4821,4357,54,889,157,118,58,212,49,72,67,988,284,526,462
Florida,2021,10,3/13/2021,4636,4202,52,892,144,132,52,197,40,61,67,917,297,441,385
Florida,2021,11,3/20/2021,4584,4115,59,865,144,112,50,217,59,67,57,938,313,396,350
Florida,2021,12,3/27/2021,4732,4286,57,888,153,126,46,220,44,73,77,1011,304,350,297
Florida,2021,13,4/3/2021,4478,4029,43,905,156,137,48,194,46,53,61,936,262,364,323
Florida,2021,14,4/10/2021,4700,4189,43,916,141,119,45,225,48,61,64,989,323,309,264
Florida,2021,15,4/17/2021,4642,4136,62,946,152,119,45,212,45,53,60,919,255,347,300
Florida,2021,16,4/24/2021,4717,4243,63,937,144,126,61,198,54,68,70,985,287,390,346
Florida,2021,17,5/1/2021,4476,4041,42,877,126,119,49,206,61,77,50,906,283,345,310
Florida,2021,18,5/8/2021,4592,4142,57,905,141,140,50,183,56,53,62,924,309,353,311
Florida,2021,19,5/15/2021,4519,4067,36,930,139,107,53,189,68,53,71,917,284,326,288
Florida,2021,20,5/22/2021,4576,4112,45,958,123,131,47,215,54,57,66,933,313,286,253
Florida,2021,21,5/29/2021,4514,4024,59,897,158,95,45,201,48,58,59,961,268,243,212
Florida,2021,22,6/5/2021,4380,3868,54,860,138,93,38,200,44,64,64,883,284,266,243
Florida,2021,23,6/12/2021,4420,3929,46,868,146,143,43,212,51,62,62,945,289,196,169
Florida,2021,24,6/19/2021,4381,3904,60,881,125,128,40,205,41,58,59,945,288,183,164
Florida,2021,25,6/26/2021,4491,3936,64,874,148,116,61,201,48,56,66,988,280,161,137
Florida,2021,26,7/3/2021,4398,3969,53,914,139,127,50,218,49,53,64,893,285,187,152
Florida,2021,27,7/10/2021,4463,3994,46,902,133,128,56,211,44,65,77,903,313,223,199
Florida,2021,28,7/17/2021,4494,4031,64,871,140,133,60,219,50,62,65,923,302,304,278
Florida,2021,29,7/24/2021,4872,4432,53,946,148,130,57,228,53,69,80,989,303,485,431
Florida,2021,30,7/31/2021,5326,4830,51,879,174,145,68,215,56,59,78,1014,312,900,837
Florida,2021,31,8/7/2021,5978,5519,56,859,178,145,59,260,65,67,77,1104,302,1508,1386
Florida,2021,32,8/14/2021,6638,6178,70,957,201,129,67,204,63,64,72,1061,281,2174,2030
Florida,2021,33,8/21/2021,7165,6717,55,875,222,147,64,266,68,73,72,1024,335,2641,2483
Florida,2021,34,8/28/2021,7349,6841,47,895,204,143,48,214,67,82,91,996,332,2851,2689
Florida,2021,35,9/4/2021,7184,6719,46,900,191,127,59,221,45,69,69,1072,317,2819,2641
Florida,2021,36,9/11/2021,6794,6351,66,907,190,135,77,212,57,65,72,1023,318,2389,2228
Florida,2021,37,9/18/2021,6285,5840,69,916,148,148,63,200,47,76,76,981,343,1927,1785
Florida,2021,38,9/25/2021,5846,5388,59,846,168,129,62,236,45,77,74,988,295,1562,1456
Florida,2021,39,10/2/2021,5493,5019,61,905,152,132,58,196,52,58,84,912,319,1164,1066
Florida,2021,40,10/9/2021,5104,4663,57,898,156,124,47,214,62,61,62,945,297,851,766
Florida,2021,41,10/16/2021,4924,4410,66,883,141,118,62,210,73,61,73,938,299,630,555
Florida,2021,42,10/23/2021,4613,4184,60,867,125,115,51,208,45,71,62,927,295,489,420
Florida,2021,43,10/30/2021,4587,4118,64,912,148,115,61,186,53,54,71,911,288,344,293
Florida,2021,44,11/6/2021,4538,4088,37,908,160,115,67,193,57,65,71,904,281,293,256
Florida,2021,45,11/13/2021,4547,4091,70,912,155,115,49,186,59,77,79,919,334,230,199
Florida,2021,46,11/20/2021,4576,4117,46,948,140,116,46,208,52,73,76,945,311,185,140
Florida,2021,47,11/27/2021,4344,3889,52,835,137,131,49,196,58,67,64,967,291,156,118
Florida,2021,48,12/4/2021,4647,4169,54,931,150,131,53,216,49,67,95,974,344,169,144
Florida,2021,49,12/11/2021,4625,4161,44,886,150,118,56,206,53,77,61,1006,307,170,139
Florida,2021,50,12/18/2021,4546,4077,70,926,153,122,60,213,68,86,67,937,294,158,123
Florida,2021,51,12/25/2021,4530,4086,49,875,130,116,52,199,57,71,69,1002,325,191,151
Florida,2021,52,1/1/2022,4869,4371,59,967,152,106,80,236,51,67,82,1050,299,301,252
Florida,2022,1,1/8/2022,5218,4760,78,906,162,133,66,239,54,92,84,1097,346,560,472
Florida,2022,2,1/15/2022,5752,5349,70,921,187,167,68,242,59,89,95,1114,367,1022,878
Florida,2022,3,1/22/2022,5996,5559,55,879,197,141,73,232,56,85,107,1149,384,1325,1138
Florida,2022,4,1/29/2022,6113,5672,56,936,184,153,77,278,67,111,103,1154,342,1318,1125
Florida,2022,5,2/5/2022,5993,5539,49,935,179,188,59,242,51,101,82,1129,373,1227,1028
Florida,2022,6,2/12/2022,5658,5189,53,966,162,147,55,238,62,81,85,1078,384,1020,837
Florida,2022,7,2/19/2022,5405,4955,64,934,171,120,59,236,67,63,99,1128,327,803,635
Florida,2022,8,2/26/2022,5006,4553,62,876,133,127,53,231,43,77,97,1024,338,591,480
Florida,2022,9,3/5/2022,4777,4307,49,869,141,120,57,200,62,89,90,975,326,434,341
Florida,2022,10,3/12/2022,4808,4292,57,951,142,114,54,214,59,93,95,1064,339,309,219
Florida,2022,11,3/19/2022,4567,4080,54,916,145,119,54,221,69,67,102,995,282,220,151
Florida,2022,12,3/26/2022,4479,4024,57,957,158,138,56,204,50,73,94,928,303,187,113
Florida,2022,13,4/2/2022,4591,4149,67,990,125,111,58,240,54,76,91,941,330,136,81
Florida,2022,14,4/9/2022,4294,3916,55,897,152,104,46,196,47,62,81,936,308,121,69
Florida,2022,15,4/16/2022,4327,3890,59,924,144,92,57,200,55,66,78,909,295,106,59
Florida,2022,16,4/23/2022,4292,3885,53,902,111,100,41,194,50,74,94,994,336,94,54
Florida,2022,17,4/30/2022,4358,3918,48,905,141,115,56,202,42,67,90,962,324,97,47
